MatchID,Match_Number,Stage,Group,Team1,Team2,Venue,City,Date,Winner,Team1_Score,Team1_Wickets,Team1_Overs,Team2_Score,Team2_Wickets,Team2_Overs,Margin,Margin_Type,Toss_Winner,Toss_Decision,Player_of_Match
1,1,Group Stage,A,Netherlands,Pakistan,Sinhalese Sports Club Cricket Ground,Colombo,07-Feb-26,Pakistan,147,10,19.5,148,7,19.3,3,wickets,Pakistan,field,Shadab Khan
2,2,Group Stage,C,West Indies,Scotland,R. Premadasa Stadium,Colombo,07-Feb-26,West Indies,161,9,20,132,8,20,29,runs,United States of America,field,Evin Lewis
3,3,Group Stage,A,India,United States of America,Wankhede Stadium,Mumbai,07-Feb-26,India,161,9,20,132,8,20,29,runs,United States of America,field,Suryakumar Yadav
4,4,Group Stage,D,Afghanistan,New Zealand,M. A. Chidambaram Stadium,Chennai,08-Feb-26,New Zealand,156,8,20,159,3,18,7,wickets,Netherlands,field,Rachin Ravindra
5,5,Group Stage,C,England,Nepal,Arun Jaitley Stadium,Delhi,08-Feb-26,England,190,9,20,158,8,20,32,runs,United States of America,field,Will Jacks
6,6,Group Stage,B,Sri Lanka,Ireland,Pallekele International Cricket Stadium,Kandy,08-Feb-26,Sri Lanka,209,9,20,116,10,18.2,93,runs,Namibia,field,Dasun Shanaka
7,7,Group Stage,C,Scotland,Italy,R. Premadasa Stadium,Colombo,09-Feb-26,Scotland,185,6,20,120,10,17.1,65,runs,Scotland,bat,Michael Jones
8,8,Group Stage,B,Oman,Zimbabwe,Sinhalese Sports Club Cricket Ground,Colombo,09-Feb-26,Zimbabwe,150,7,20,153,4,19.2,6,wickets,Oman,bat,Sikandar Raza
9,9,Group Stage,D,South Africa,Canada,Arun Jaitley Stadium,Delhi,09-Feb-26,South Africa,195,5,20,134,9,20,61,runs,South Africa,bat,Aiden Markram
10,10,Group Stage,A,Namibia,Netherlands,Narendra Modi Stadium,Ahmedabad,10-Feb-26,Netherlands,156,8,20,159,3,18,7,wickets,Netherlands,field,Bas de Leede
11,11,Group Stage,D,United Arab Emirates,New Zealand,M. A. Chidambaram Stadium,Chennai,10-Feb-26,New Zealand,160,6,20,161,2,17.4,8,wickets,New Zealand,field,Tim Seifert
12,12,Group Stage,A,Pakistan,United States of America,Pallekele International Cricket Stadium,Kandy,10-Feb-26,Pakistan,190,9,20,158,8,20,32,runs,United States of America,field,Shaheen Afridi
13,13,Group Stage,D,South Africa,Afghanistan,Wankhede Stadium,Mumbai,11-Feb-26,South Africa,175,6,20,145,9,20,30,runs,South Africa,bat,Lungi Ngidi
14,14,Group Stage,B,Australia,Ireland,Narendra Modi Stadium,Ahmedabad,11-Feb-26,Australia,188,4,20,135,8,20,53,runs,Australia,bat,Travis Head
15,15,Group Stage,C,West Indies,England,Eden Gardens,Kolkata,11-Feb-26,England,165,8,20,166,4,19.1,6,wickets,West Indies,field,Jos Buttler
