channel_title,Total_Videos,Total_Views,Avg_Views,Total_Likes,Avg_Engagement
ChildishGambinoVEVO,25,3758488765,150339550.6,96700818,3.22
ibighit,80,2235906679,27948833.49,199247121,15.3
Dude Perfect,131,1870085178,14275459.37,60275557,3.55
Marvel Entertainment,125,1808998971,14471991.77,55873344,3.81
ArianaGrandeVevo,43,1576959172,36673469.12,52170970,5.47
MalumaVEVO,32,1551515831,48484869.72,23278380,2.03
jypentertainment,64,1486972132,23233939.56,44900910,4.86
Sony Pictures Entertainment,88,1432374398,16276981.8,30106808,1.84
FoxStarHindi,32,1238609854,38706557.94,23762509,2.19
BeckyGVEVO,20,1182971286,59148564.3,19185287,2.42
20th Century Fox,134,1066912484,7962033.46,24044627,2.32
CalvinHarrisVEVO,43,1042564430,24245684.42,17958660,2.81
Ed Sheeran,47,1032288961,21963594.91,39279211,4.79
Cardi B,30,1026247756,34208258.53,26724811,3.9
TaylorSwiftVEVO,49,1010955662,20631748.2,39292840,5.95
Universal Pictures,106,883707419,8336862.44,12481737,1.49
ZaynVEVO,39,838561451,21501575.67,31695245,4.73
Disneyâ¢Pixar,40,826815182,20670379.55,13623208,2.18
JenniferLopezVEVO,44,819466359,18624235.43,14238664,2.42
Selena Gomez,28,818792483,29242588.68,20165850,3.84
YouTube Spotlight,18,791388476,43966026.44,20173324,11.32
TheWeekndVEVO,19,778810304,40990016.0,16996782,3.12
Daddy Yankee,25,735203270,29408130.8,14315687,2.51
Diplo,54,700357966,12969591.96,19952063,3.89
Warner Bros. Pictures,150,665142792,4434285.28,5952414,1.44
AsapSCIENCE,124,640139160,5162412.58,10761634,4.01
Paramount Pictures,62,626892103,10111162.95,7111057,1.31
How Ridiculous,75,612065519,8160873.59,12759049,3.56
DrakeVEVO,14,583521598,41680114.14,11593730,2.26
nigahiga,88,582326628,6617348.05,28986787,6.52
LuisFonsiVEVO,10,534738794,53473879.4,16671426,6.52
Safiya Nygaard,138,524328365,3799480.91,25138978,5.58
Maroon5VEVO,34,516169845,15181466.03,23285980,5.68
Saturday Night Live,174,506752526,2912370.84,5885086,1.86
Logan Paul Vlogs,24,484356303,20181512.62,31545290,12.59
EminemVEVO,33,478395133,14496822.21,22526122,6.15
NickiMinajAtVEVO,40,478247584,11956189.6,14921311,4.51
