trending_date,Total_Videos,Total_Views,Avg_Engagement
2017-11-14,200,185435246,4.31
2017-11-15,200,212445216,3.91
2017-11-16,200,227365391,3.87
2017-11-17,200,193541711,4.3
2017-11-18,200,196846875,4.64
2017-11-19,200,215052284,4.56
2017-11-20,200,257000111,4.31
2017-11-21,200,272366796,4.33
2017-11-22,200,283346688,4.4
2017-11-23,200,279033536,4.2
2017-11-24,200,296317433,3.89
2017-11-25,200,312452069,3.86
2017-11-26,200,340390413,3.92
2017-11-27,200,257899276,3.77
2017-11-28,200,242584076,4.06
2017-11-29,200,195162120,4.62
2017-11-30,200,239558899,4.19
2017-12-01,200,232922521,4.34
2017-12-02,200,216493881,4.44
2017-12-03,200,252269204,4.41
2017-12-04,200,284933560,4.05
2017-12-05,200,315863007,4.0
2017-12-06,200,336281463,4.17
2017-12-07,200,385936747,3.97
2017-12-08,200,395720361,4.37
2017-12-09,200,294591913,4.9
2017-12-10,200,327000962,4.92
2017-12-11,200,374007988,4.66
2017-12-12,200,356733762,4.72
2017-12-13,200,379065448,4.72
2017-12-14,200,380020103,5.07
2017-12-15,200,240799590,4.9
2017-12-16,200,179201789,5.1
2017-12-17,200,190812825,4.75
2017-12-18,200,220924291,4.75
2017-12-19,200,185778037,4.72
2017-12-20,200,180256066,4.8
2017-12-21,200,190463226,4.9
2017-12-22,200,188871931,4.76
2017-12-23,200,177951980,4.91
2017-12-24,200,182826459,4.76
2017-12-25,200,210844932,4.46
2017-12-26,200,221678391,4.14
2017-12-27,200,241898842,4.06
2017-12-28,200,264150877,3.82
2017-12-29,200,269783913,3.65
2017-12-30,200,272059514,3.74
2017-12-31,200,287060487,3.85
2018-01-01,200,307958318,3.71
2018-01-02,200,320211642,3.55
2018-01-03,200,251099889,3.92
2018-01-04,200,239990961,4.26
2018-01-05,200,202066493,4.43
2018-01-06,200,208635326,4.26
2018-01-07,200,218772690,4.13
2018-01-08,200,231850086,4.03
2018-01-09,200,248347992,3.96
2018-01-12,200,200000937,4.76
2018-01-13,200,139776028,4.38
2018-01-14,200,165774508,4.24
2018-01-15,200,194580496,3.96
2018-01-16,200,215509699,3.77
2018-01-17,200,220096801,3.88
2018-01-18,200,216173739,4.32
2018-01-19,200,207910764,4.46
2018-01-20,200,150079592,4.47
2018-01-21,200,160575431,4.41
2018-01-22,200,183528951,4.38
2018-01-23,200,206291076,4.19
2018-01-24,200,236075723,4.23
2018-01-25,200,263220554,4.01
2018-01-26,200,203842366,4.33
2018-01-27,200,204888647,4.2
2018-01-28,200,230851421,4.11
2018-01-29,199,254819348,4.07
2018-01-30,200,273953619,3.94
2018-01-31,197,284785836,3.83
2018-02-01,197,285213702,3.87
2018-02-02,196,208205332,3.58
2018-02-03,196,181514507,3.57
2018-02-04,196,206411196,3.36
2018-02-05,199,214355855,2.97
2018-02-06,199,316643047,2.94
2018-02-07,199,315519845,3.0
2018-02-08,200,383653654,3.14
2018-02-09,200,375218909,3.52
2018-02-10,200,374687228,3.58
2018-02-11,200,405072163,3.38
2018-02-12,198,405521012,3.42
2018-02-13,199,405714064,3.43
2018-02-14,199,340657192,3.81
2018-02-15,199,267444169,4.29
2018-02-16,200,280891975,4.29
2018-02-17,200,268085613,4.29
2018-02-18,200,277050225,4.01
2018-02-19,200,230672053,3.97
2018-02-20,200,242446168,4.01
2018-02-21,200,254260078,3.99
2018-02-22,199,276585549,4.13
2018-02-23,199,275609399,4.19
2018-02-24,200,267398542,4.26
2018-02-25,200,269273227,4.0
2018-02-26,199,248921980,4.07
2018-02-27,198,240118802,4.21
2018-02-28,199,228959407,4.49
2018-03-01,200,221846946,4.56
2018-03-02,200,214369321,4.78
2018-03-03,199,238248343,4.6
2018-03-04,199,246275268,4.69
2018-03-05,200,274185701,4.38
2018-03-06,200,263472101,4.44
2018-03-07,199,264561519,4.43
2018-03-08,199,250911518,4.25
2018-03-09,200,262123805,4.34
2018-03-10,200,276855930,4.19
2018-03-11,200,293109494,4.2
2018-03-12,199,310744714,4.09
2018-03-13,199,343076259,4.01
2018-03-14,198,371009402,3.91
2018-03-15,199,425711784,4.16
2018-03-16,198,429155669,4.06
2018-03-17,198,433837787,4.02
2018-03-18,199,465702416,3.92
2018-03-19,199,504539093,3.88
2018-03-20,199,511851718,3.82
2018-03-21,200,525922020,3.83
2018-03-22,200,554022979,3.9
2018-03-23,200,564484552,3.97
2018-03-24,200,581271330,4.0
2018-03-25,200,502672527,3.93
2018-03-26,200,431122629,3.88
2018-03-27,199,439687947,3.93
2018-03-28,200,337588568,4.07
2018-03-29,200,360177519,4.11
2018-03-30,200,311963911,4.23
2018-03-31,200,338061606,4.19
2018-04-01,200,356766694,4.22
2018-04-02,200,369000913,4.15
2018-04-03,200,383058573,4.03
2018-04-04,200,389149868,3.9
2018-04-05,200,405397215,3.89
2018-04-06,200,422259701,4.17
2018-04-07,200,420654676,4.23
2018-04-14,200,549448325,3.96
2018-04-15,200,572121957,3.92
2018-04-16,200,616802580,3.83
2018-04-17,200,626216801,3.81
2018-04-18,200,658596718,3.75
2018-04-19,200,652140288,3.77
2018-04-20,200,659548951,3.73
2018-04-21,200,648511549,3.77
2018-04-22,200,676285698,3.69
2018-04-23,200,689456031,3.55
2018-04-24,200,707217877,3.54
2018-04-25,200,731781504,3.8
2018-04-26,200,793096656,3.84
2018-04-27,200,853298391,3.79
2018-04-28,200,767468772,3.93
2018-04-29,200,823932637,3.87
2018-04-30,200,817861124,3.82
2018-05-01,200,799285892,3.91
2018-05-02,200,720232823,3.91
2018-05-03,200,764162814,4.0
2018-05-04,200,755841534,4.08
2018-05-05,200,796406168,3.92
2018-05-06,200,838536371,3.86
2018-05-07,200,894224918,3.82
2018-05-08,200,943425171,3.92
2018-05-09,200,1006703381,3.75
2018-05-10,200,761080011,3.95
2018-05-11,200,809375281,3.76
2018-05-12,200,779246516,3.86
2018-05-13,200,756780833,3.9
2018-05-14,200,1132606654,3.53
2018-05-15,151,768049343,3.63
2018-05-16,200,759357317,3.83
2018-05-17,200,779102129,3.74
2018-05-18,200,837897443,3.62
2018-05-19,200,921609450,3.54
2018-05-20,200,992485438,3.54
2018-05-21,200,1006682347,3.63
2018-05-22,200,1065679121,3.56
2018-05-23,200,1120374857,3.45
2018-05-24,200,1132741565,3.61
2018-05-25,200,1183835157,3.57
2018-05-26,200,1124812174,3.7
2018-05-27,200,1001773753,3.75
2018-05-28,200,1139196925,3.66
2018-05-29,200,1213435911,3.53
2018-05-30,200,1112807843,3.69
2018-05-31,200,1145679756,3.78
2018-06-01,200,1211468091,3.74
2018-06-02,200,1081706800,3.97
2018-06-03,200,902470380,3.93
2018-06-04,200,933630024,3.95
2018-06-05,200,977576115,3.91
2018-06-06,200,1008714823,3.99
2018-06-07,200,1068140514,4.06
2018-06-08,200,1108435945,4.07
2018-06-09,200,1091757250,4.1
2018-06-10,200,985094838,4.14
2018-06-11,200,999480200,4.11
2018-06-12,200,999228227,4.13
2018-06-13,200,1029543663,4.0
2018-06-14,200,1023002785,4.01
